, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
